line_number,six_count
1,45
2,37
3,36
4,40
5,46
6,49
7,36
8,38
9,49
10,39
11,46
12,48
13,35
14,54
15,37
16,47
17,41
18,45
19,44
20,42
21,37
22,48
23,44
24,47
25,42
26,44
27,48
28,41
29,39
30,49
31,41
32,45
33,44
34,31
35,39
36,40
37,35
38,38
39,49
40,41
41,45
42,39
43,40
44,43
45,48
46,37
47,39
48,48
49,40
50,48
51,43
52,36
53,39
54,41
55,34
56,43
57,44
58,46
59,35
60,41
61,39
62,36
63,29
64,40
65,47
66,37
67,37
68,33
69,39
70,39
71,44
72,44
73,30
74,46
75,46
76,42
77,45
78,36
79,49
80,43
81,49
82,33
83,44
84,40
85,48
86,45
87,38
88,44
89,32
90,47
91,40
92,36
93,49
94,37
95,39
96,43
97,36
98,34
99,51
100,34
101,46
102,44
103,36
104,39
105,38
106,51
107,42
108,38
109,30
110,39
111,51
112,51
113,45
114,35
115,37
116,32
117,45
118,34
119,43
120,48
121,37
122,38
123,57
124,49
125,44
126,44
127,27
128,39
129,44
130,31
131,48
132,47
133,43
134,46
135,29
136,39
137,32
138,55
139,36
140,48
141,41
142,36
143,37
144,42
145,52
146,50
147,52
148,36
149,50
150,48
151,44
152,30
153,53
154,44
155,34
156,36
157,43
158,39
159,52
160,37
161,42
162,41
163,36
164,41
165,35
166,38
167,49
168,29
169,37
170,52
171,37
172,50
173,46
174,41
175,36
176,35
177,54
178,46
179,45
180,39
181,39
182,43
183,40
184,36
185,39
186,31
187,39
188,36
189,37
190,44
191,43
192,33
193,40
194,42
195,43
196,53
197,47
198,45
199,34
200,45
201,42
202,36
203,32
204,31
205,43
206,53
207,41
208,41
209,49
210,40
211,39
212,35
213,47
214,47
215,42
216,37
217,41
218,52
219,47
220,42
221,36
222,47
223,49
224,42
225,34
226,37
227,42
228,46
229,32
230,40
231,49
232,48
233,37
234,52
235,46
236,36
237,40
238,43
239,46
240,42
241,40
242,43
243,46
244,40
245,34
246,47
247,39
248,36
249,50
250,36
